code	province	district	neighborhood
1153053000	서울특별시	구로구	구로제2동
1153054000	서울특별시	구로구	구로제3동
1153055000	서울특별시	구로구	구로제4동
1153056000	서울특별시	구로구	구로제5동
1153059500	서울특별시	구로구	가리봉동
1153072000	서울특별시	구로구	고척제1동
1153073000	서울특별시	구로구	고척제2동
1153074000	서울특별시	구로구	개봉제1동
1153075000	서울특별시	구로구	개봉제2동
1153076000	서울특별시	구로구	개봉제3동
1153077000	서울특별시	구로구	오류제1동
1153078000	서울특별시	구로구	오류제2동
1153079000	서울특별시	구로구	수궁동
1153080000	서울특별시	구로구	항동
1154551000	서울특별시	금천구	가산동
1154561000	서울특별시	금천구	독산제1동
1154562000	서울특별시	금천구	독산제2동
1154563000	서울특별시	금천구	독산제3동
1154564000	서울특별시	금천구	독산제4동
1154567000	서울특별시	금천구	시흥제1동
1154568000	서울특별시	금천구	시흥제2동
1154569000	서울특별시	금천구	시흥제3동
1154570000	서울특별시	금천구	시흥제4동
1154571000	서울특별시	금천구	시흥제5동
1156051500	서울특별시	영등포구	영등포본동
1156053500	서울특별시	영등포구	영등포동
1156054000	서울특별시	영등포구	여의동
1156055000	서울특별시	영등포구	당산제1동
1156056000	서울특별시	영등포구	당산제2동
1156058500	서울특별시	영등포구	도림동
1156060500	서울특별시	영등포구	문래동
1156061000	서울특별시	영등포구	양평제1동
1156062000	서울특별시	영등포구	양평제2동
1156063000	서울특별시	영등포구	신길제1동
1156065000	서울특별시	영등포구	신길제3동
1156066000	서울특별시	영등포구	신길제4동
1156067000	서울특별시	영등포구	신길제5동
1156068000	서울특별시	영등포구	신길제6동
1156069000	서울특별시	영등포구	신길제7동
1156070000	서울특별시	영등포구	대림제1동
1156071000	서울특별시	영등포구	대림제2동
1156072000	서울특별시	영등포구	대림제3동
1159051000	서울특별시	동작구	노량진제1동
1159052000	서울특별시	동작구	노량진제2동
1159053000	서울특별시	동작구	상도제1동
1159054000	서울특별시	동작구	상도제2동
1159055000	서울특별시	동작구	상도제3동
1159056000	서울특별시	동작구	상도제4동
1159060500	서울특별시	동작구	흑석동
1159062000	서울특별시	동작구	사당제1동
1159063000	서울특별시	동작구	사당제2동
1159064000	서울특별시	동작구	사당제3동
1159065000	서울특별시	동작구	사당제4동
1159065100	서울특별시	동작구	사당제5동
1159066000	서울특별시	동작구	대방동
1159067000	서울특별시	동작구	신대방제1동
1159068000	서울특별시	동작구	신대방제2동
1162052500	서울특별시	관악구	보라매동
1162054500	서울특별시	관악구	청림동
1162056500	서울특별시	관악구	성현동
1162057500	서울특별시	관악구	행운동
1162058500	서울특별시	관악구	낙성대동
1162059500	서울특별시	관악구	청룡동
1162060500	서울특별시	관악구	은천동
1162061500	서울특별시	관악구	중앙동
1162062500	서울특별시	관악구	인헌동
1162063000	서울특별시	관악구	남현동
1162064500	서울특별시	관악구	서원동
1162065500	서울특별시	관악구	신원동
1162066500	서울특별시	관악구	서림동
1162068500	서울특별시	관악구	신사동
1162069500	서울특별시	관악구	신림동
1162071500	서울특별시	관악구	난향동
1162072500	서울특별시	관악구	조원동
1162073500	서울특별시	관악구	대학동
